approved,raw_value,normalized_value,canonical_code,canonical_name,parent_code,parent_name,match_action,alias_source,confidence,review_notes
false,Holder and Cover Flow,holder and cover flow,HOLDER_AND_COVER_FLOW,Holder and Cover Flow,,,review,inventory.description,30,unmatched candidate; requires review
false,Hook breathing circuit,hook breathing circuit,HOOK_BREATHING_CIRCUIT,Hook breathing circuit,,,review,inventory.description,30,unmatched candidate; requires review
false,Housing Bellows,housing bellows,HOUSING_BELLOWS,Housing Bellows,,,review,inventory.description,30,unmatched candidate; requires review
false,Infant Bacteria Filter,infant bacteria filter,INFANT_BACTERIA_FILTER,Infant Bacteria Filter,,,review,inventory.description,30,unmatched candidate; requires review
false,Injector,injector,INJECTOR,Injector,,,review,inventory.description,30,unmatched candidate; requires review
false,Inrush board,inrush board,INRUSH_BOARD,Inrush board,,,review,inventory.description,30,unmatched candidate; requires review
false,Isolation plate with o-ring and screws for 1505-3215-000,isolation plate with o-ring and screws for 1505-3215-000,ISOLATION_PLATE_WITH_O-RING_AND_SCREWS_F,Isolation plate with o-ring and screws for 1505-3215-000,,,review,inventory.description,30,unmatched candidate; requires review
false,Keypad (Engstrom FMI 36056),keypad (engstrom fmi 36056),KEYPAD_(ENGSTROM_FMI_36056),Keypad (Engstrom FMI 36056),,,review,inventory.description,30,unmatched candidate; requires review
false,Kit ACGO,kit acgo,KIT_ACGO,Kit ACGO,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit EP ROM,kit ep rom,KIT_EP_ROM,Kit EP ROM,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit F-m express,kit f-m express,KIT_F-M_EXPRESS,Kit F-m express,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit GMS APL replacement parts,kit gms apl replacement parts,KIT_GMS_APL_REPLACEMENT_PARTS,Kit GMS APL replacement parts,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit Motor,kit motor,KIT_MOTOR,Kit Motor,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit Neonatal Software Option,kit neonatal software option,KIT_NEONATAL_SOFTWARE_OPTION,Kit Neonatal Software Option,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit SVCE PCA Relay ROHOS Giraffe,kit svce pca relay rohos giraffe,KIT_SVCE_PCA_RELAY_ROHOS_GIRAFFE,Kit SVCE PCA Relay ROHOS Giraffe,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit Seal Handhole,kit seal handhole,KIT_SEAL_HANDHOLE,Kit Seal Handhole,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit Servo Humidity,kit servo humidity,KIT_SERVO_HUMIDITY,Kit Servo Humidity,,,review,inventory.description,30,unmatched candidate; requires review
false,Kit Touch Complete Display Upgrade,kit touch complete display upgrade,KIT_TOUCH_COMPLETE_DISPLAY_UPGRADE,Kit Touch Complete Display Upgrade,,,review,inventory.description,30,unmatched candidate; requires review
false,LCD / Aespire,lcd / aespire,LCD_/_AESPIRE,LCD / Aespire,,,review,inventory.description,30,unmatched candidate; requires review
false,LCD B40,lcd b40,LCD_B40,LCD B40,,,review,inventory.description,30,unmatched candidate; requires review
